id,clave,nombre
cve_clave_unidad223,XPZ,Tablones con fleje/ agrupados/ armados
cve_clave_unidad224,XQA,Tambor de acero con cabeza no desmontable
cve_clave_unidad225,XQB,Tambor de  acero con cabeza extraíble
cve_clave_unidad226,XQC,Tambor de aluminio con cabeza no extraíble
cve_clave_unidad227,XQD,Tambor de aluminio con cabeza extraíble
cve_clave_unidad228,XQF,"Tambor, plástico con cabeza no desmontable"
cve_clave_unidad229,XQG,"Tambor, plástico, cabeza extraíble"
cve_clave_unidad230,XQH,Barril de madera con tapón
cve_clave_unidad231,XQJ,Barril de madera con cabeza desprendible
cve_clave_unidad232,XQK,Bidón de acero con cabeza no desmontable
cve_clave_unidad233,XQL,Bidón de acero con cabeza desmontable
cve_clave_unidad234,XQM,Bidón de plástico con cabeza no desmontable
cve_clave_unidad235,XQN,Bidón de plástico con cabeza extraíble
cve_clave_unidad236,XQP,Caja de madera natural estándar
cve_clave_unidad237,XQQ,Caja de madera natural con muros a prueba de filtraciones
cve_clave_unidad238,XQR,Caja de plástico expandida
cve_clave_unidad239,XQS,Caja de plástico sólida
cve_clave_unidad240,XRD,Rod
cve_clave_unidad241,XRG,Anillo
cve_clave_unidad242,XRJ,"Estante, Perchero para ropa"
cve_clave_unidad243,XRK,Estante
cve_clave_unidad244,XRL,Carrete
cve_clave_unidad245,XRO,Rollo
cve_clave_unidad246,XRT,Red Roja
cve_clave_unidad247,XRZ,Varillas  con fleje/ agrupados/ armados
cve_clave_unidad248,XSA,Saco
cve_clave_unidad249,XSB,Losa
cve_clave_unidad250,XSC,Cajón poco profundo
cve_clave_unidad251,XSD,Huso
cve_clave_unidad252,XSE,Baúl
cve_clave_unidad253,XSH,Bolsa pequeña hermética
cve_clave_unidad254,XSI,Patín
cve_clave_unidad255,XSK,Carcasa esqueleto
cve_clave_unidad256,XSL,Hoja de deslizamiento
cve_clave_unidad257,XSM,Hoja de metal
cve_clave_unidad258,XSO,Carrete pequeño
cve_clave_unidad259,XSP,Hoja de empaque de plástico
cve_clave_unidad260,XSS,Cajón de acero
cve_clave_unidad261,XSU,Maleta
cve_clave_unidad262,XSV,Sobre de acero
cve_clave_unidad263,XSW,Envoltorio
cve_clave_unidad264,XSY,Manga
cve_clave_unidad265,XSZ,Hojas  con fleje/ agrupados/ armados
cve_clave_unidad266,XT1,Tableta
cve_clave_unidad267,XTB,Tina
cve_clave_unidad268,XTC,Caja para té
cve_clave_unidad269,XTD,Tubo plegable
cve_clave_unidad270,XTG,Contenedor de tanque genérico
cve_clave_unidad271,XTI,Tierce
cve_clave_unidad272,XTK,Tanque rectangular
cve_clave_unidad273,XTL,Tina con tapa
cve_clave_unidad274,XTN,Hojalata
cve_clave_unidad275,XTO,Tonel
cve_clave_unidad276,XTR,Maletero
cve_clave_unidad277,XTS,Estructura
cve_clave_unidad278,XTT,Bolsa de mano
cve_clave_unidad279,XTU,Tubo
cve_clave_unidad280,XTV,Tubo con boquilla
cve_clave_unidad281,XTW,Pallet tricapa
cve_clave_unidad282,XTY,Tanque cilíndrico
cve_clave_unidad283,XTZ,Tubos  con fleje/ agrupados/ armados
cve_clave_unidad284,XUC,Sin empaque
cve_clave_unidad285,XUN,Unidad
cve_clave_unidad286,XVA,Tanque
cve_clave_unidad287,XVG,"Tanque de gas (a 1,031 mbar y 15° C)"
cve_clave_unidad288,XVI,Frasco pequeño
cve_clave_unidad289,XVK,Paquete transportable
cve_clave_unidad290,XVL,Contenedor para líquidos a granel
cve_clave_unidad291,XVN,Vehículo
cve_clave_unidad292,XVO,"Contenedor para sólido de partículas grandes a granel (""nódulos"")"
cve_clave_unidad293,XVP,Envasado al vacío
cve_clave_unidad294,XVQ,Tanque para Gas licuado (a temperatura / presión anormal)
cve_clave_unidad295,XVR,Contenedor para sólidos de partículas granulares a granel (Granos)
cve_clave_unidad296,XVS,Contenedor de chatarra a granel
cve_clave_unidad297,XVY,"Contenedor para sólido de partículas finas a granel (""polvos"")"
cve_clave_unidad298,XWA,Contenedor de granel intermedio
cve_clave_unidad299,XWB,Botella de mimbre
cve_clave_unidad300,XWC,Contenedor intermedio para gráneles y de acero
cve_clave_unidad301,XWD,Contenedor intermedio para gráneles y de aluminio
cve_clave_unidad302,XWF,Contenedor intermedio para gráneles y de metal
cve_clave_unidad303,XWG,Contenedor intermedio para gráneles y de acero presurizado menor a 10 kpa
cve_clave_unidad304,XWH,"Contenedor intermedio para gráneles y de aluminio, presurizado menor a 10 kpa"
cve_clave_unidad305,XWJ,Contenedor intermedio para gráneles y de metal con una presión de 10 kpa
cve_clave_unidad306,XWK,Contenedor intermedio para gráneles y de acero para líquido
cve_clave_unidad307,XWL,Contenedor intermedio para gráneles y de aluminio para líquido
cve_clave_unidad308,XWM,Contenedor intermedio para gráneles y de metal para líquido
cve_clave_unidad309,XWN,Contenedor intermedio para gráneles con tejido plástico sin capa con revestimiento
cve_clave_unidad310,XWP,Contenedor intermedio para gráneles con tejido plástico y recubierto
cve_clave_unidad311,XWQ,Contenedor intermedio para gráneles con tejido plástico con revestimiento
cve_clave_unidad312,XWR,"Contenedor intermedio para gráneles con tejido plástico, revestido y con forro"
cve_clave_unidad313,XWS,Contenedor intermedio para gráneles con película de plástico
cve_clave_unidad314,XWT,Contenedor intermedio para gráneles textil sin capa / forro
cve_clave_unidad315,XWU,Contenedor intermedio para gráneles de madera natural con forro interior
cve_clave_unidad316,XWV,Contenedor intermedio para gráneles textil recubierto
cve_clave_unidad317,XWW,Contenedor intermedio para gráneles textil con revestimiento
cve_clave_unidad318,XWX,Contenedor intermedio para gráneles textil recubierto y con forro
cve_clave_unidad319,XWY,Contenedor intermedio para gráneles contrachapado con revestimiento interior
cve_clave_unidad320,XWZ,Contenedor intermedio para gráneles de madera reconstituida con revestimiento interior
cve_clave_unidad321,XXA,"Bolsa de tejido plástico, sin abrigo interior ni forro"
